Region ID,Region Name,Overlap Voxel Count
0,Background,88725779
1,Frontal Pole,680840
22,"Lateral Occipital Cortex, superior division",430771
7,Precentral Gyrus,380198
17,Postcentral Gyrus,304182
31,Precuneous Cortex,248837
4,Middle Frontal Gyrus,234199
48,Occipital Pole,231785
3,Superior Frontal Gyrus,223427
8,Temporal Pole,207750
23,"Lateral Occipital Cortex, inferior division",179078
36,Lingual Gyrus,149191
33,Frontal Orbital Cortex,137757
28,Paracingulate Gyrus,130095
18,Superior Parietal Lobule,127576
29,"Cingulate Gyrus, anterior division",115267
12,"Middle Temporal Gyrus, posterior division",112806
30,"Cingulate Gyrus, posterior division",106903
21,Angular Gyrus,106901
2,Insular Cortex,104286
20,"Supramarginal Gyrus, posterior division",100438
13,"Middle Temporal Gyrus, temporooccipital part",88988
15,"Inferior Temporal Gyrus, posterior division",85817
42,Central Opercular Cortex,83313
10,"Superior Temporal Gyrus, posterior division",80939
40,Occipital Fusiform Gyrus,78495
19,"Supramarginal Gyrus, anterior division",76813
38,"Temporal Fusiform Cortex, posterior division",71862
26,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),66137
16,"Inferior Temporal Gyrus, temporooccipital part",65031
39,Temporal Occipital Fusiform Cortex,64863
24,Intracalcarine Cortex,61434
6,"Inferior Frontal Gyrus, pars opercularis",59967
34,"Parahippocampal Gyrus, anterior division",55566
32,Cuneal Cortex,54467
27,Subcallosal Cortex,51126
43,Parietal Opercular Cortex,49480
5,"Inferior Frontal Gyrus, pars triangularis",48778
25,Frontal Medial Cortex,43063
46,Planum Temporale,42213
11,"Middle Temporal Gyrus, anterior division",37732
44,Planum Polare,33139
35,"Parahippocampal Gyrus, posterior division",31067
41,Frontal Opercular Cortex,30397
14,"Inferior Temporal Gyrus, anterior division",28591
37,"Temporal Fusiform Cortex, anterior division",26908
45,Heschl's Gyrus (includes H1 and H2),26443
9,"Superior Temporal Gyrus, anterior division",23405
47,Supracalcarine Cortex,11786
