1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.255163	627.201626	0.008899	2216.6
1	-0.087685	623.504937	0.008344	3.3
2	-0.404988	619.865785	0.006647	3.6
3	-0.082886	616.282728	0.012215	3.2
4	-0.181986	612.754375	0.009585	3.5
5	-0.179815	609.279381	0.006890	3.8
6	-0.027916	605.856447	0.005020	5.6
7	-0.110204	602.484317	0.013227	5.6
8	-0.056340	599.161779	0.005498	6.0
9	-0.107774	595.887656	0.013650	7.1
10	-0.124387	592.660813	0.007811	4.0
11	-0.079600	589.480151	0.005136	3.7
12	-0.164130	586.344606	0.005735	5.0
13	-0.090521	583.253145	0.011518	6.5
14	-0.321128	580.204771	0.008879	3.9
15	-0.036704	577.198517	0.007872	3.2
16	-0.072237	574.233444	0.011333	4.5
17	-0.271224	571.308645	0.006707	3.2
18	-0.020280	568.423237	0.004653	3.4
19	-0.096572	565.576365	0.014690	3.5
20	-0.175870	562.767201	0.007502	2.9
21	-0.007457	559.994938	0.002725	5.5
22	-0.061458	557.258797	0.002865	3.1
23	-0.217834	554.558018	0.004482	3.7
24	-0.525882	551.891865	0.010708	3.0
25	-0.475041	549.259621	0.006787	4.1
26	-0.043234	546.660592	0.007579	3.2
27	-0.295378	544.094102	0.011809	3.1
28	-0.335083	541.559494	0.007227	3.5
29	-0.221650	539.056129	0.008352	3.1
30	-0.003304	536.583387	0.001035	3.3
31	-0.111763	534.140663	0.011147	3.1
32	-0.026061	531.727370	0.006867	3.0
33	-0.432881	529.342935	0.005762	3.5
34	-0.354128	526.986802	0.007233	3.3
35	-0.049850	524.658430	0.006717	3.4
36	-0.334504	522.357290	0.009391	3.8
37	-0.044150	520.082868	0.008201	3.4
38	-0.037297	517.834665	0.007852	3.4
39	-0.045320	515.612193	0.007309	3.2
40	-0.075435	513.414976	0.009397	3.7
41	-0.358860	511.242551	0.007885	3.7
42	-0.076081	509.094468	0.003664	4.8
43	-0.301148	506.970285	0.005054	3.2
44	-0.067900	504.869574	0.009011	3.4
45	-0.529137	502.791916	0.009898	3.6
46	-0.234342	500.736903	0.006777	5.0
47	-0.358993	498.704137	0.011016	3.4
48	-0.319373	496.693228	0.006967	3.0
49	-0.014391	494.703798	0.002557	3.8
50	-0.032201	492.735476	0.006066	3.2
